Arquitetura,Emoção,Precisão,Revocação,F1-score,Acurácia
Alexnet-13750,Raiva,0.56,0.52,0.54,0.708
Alexnet-13750,Desgosto,0.59,0.63,0.61,0.708
Alexnet-13750,Medo,0.59,0.27,0.37,0.708
Alexnet-13750,Felicidade,0.82,0.89,0.85,0.708
Alexnet-13750,Tristeza,0.75,0.4,0.52,0.708
Alexnet-13750,Surpresa,0.81,0.8,0.81,0.708
Alexnet-13750,Neutralidade,0.55,0.74,0.63,0.708
Alexnet-13750,Média/Total,0.71,0.71,0.7,0.708
Alexnet-13800,Raiva,0.56,0.52,0.54,0.704
Alexnet-13800,Desgosto,0.69,0.53,0.6,0.704
Alexnet-13800,Medo,0.43,0.42,0.42,0.704
Alexnet-13800,Felicidade,0.87,0.86,0.86,0.704
Alexnet-13800,Tristeza,0.54,0.6,0.57,0.704
Alexnet-13800,Surpresa,0.88,0.73,0.8,0.704
Alexnet-13800,Neutralidade,0.57,0.7,0.63,0.704
Alexnet-13800,Média/Total,0.72,0.7,0.71,0.704
Alexnet-16000,Raiva,0.6,0.49,0.54,0.702
Alexnet-16000,Desgosto,0.72,0.53,0.61,0.702
Alexnet-16000,Medo,0.4,0.43,0.42,0.702
Alexnet-16000,Felicidade,0.84,0.89,0.86,0.702
Alexnet-16000,Tristeza,0.47,0.68,0.56,0.702
Alexnet-16000,Surpresa,0.79,0.81,0.8,0.702
Alexnet-16000,Neutralidade,0.69,0.52,0.59,0.702
Alexnet-16000,Média/Total,0.71,0.7,0.7,0.702
Alexnet-17800,Raiva,0.51,0.6,0.55,0.712
Alexnet-17800,Desgosto,0.62,0.64,0.63,0.712
Alexnet-17800,Medo,0.47,0.41,0.44,0.712
Alexnet-17800,Felicidade,0.84,0.89,0.86,0.712
Alexnet-17800,Tristeza,0.64,0.5,0.56,0.712
Alexnet-17800,Surpresa,0.84,0.77,0.8,0.712
Alexnet-17800,Neutralidade,0.62,0.64,0.63,0.712
Alexnet-17800,Média/Total,0.71,0.71,0.71,0.712
Alexnet-18000,Raiva,0.53,0.56,0.54,0.704
Alexnet-18000,Desgosto,0.76,0.47,0.59,0.704
Alexnet-18000,Medo,0.43,0.37,0.4,0.704
Alexnet-18000,Felicidade,0.82,0.89,0.85,0.704
Alexnet-18000,Tristeza,0.77,0.38,0.51,0.704
Alexnet-18000,Surpresa,0.74,0.84,0.79,0.704
Alexnet-18000,Neutralidade,0.58,0.69,0.63,0.704
Alexnet-18000,Média/Total,0.71,0.7,0.69,0.704
