Base de Dados,Arquitetura,Emoção,Precisão,Revocação,F1-score,Acurácia
CIFE-TRAIN,alexnet-17800,Raiva,0.55,0.6,0.58,0.624
CIFE-TRAIN,alexnet-17800,Desgosto,0.3,0.31,0.3,0.624
CIFE-TRAIN,alexnet-17800,Medo,0.5,0.49,0.5,0.624
CIFE-TRAIN,alexnet-17800,Felicidade,0.73,0.85,0.79,0.624
CIFE-TRAIN,alexnet-17800,Tristeza,0.68,0.6,0.64,0.624
CIFE-TRAIN,alexnet-17800,Surpresa,0.71,0.53,0.61,0.624
CIFE-TRAIN,alexnet-17800,Neutralidade,0.54,0.53,0.53,0.624
CIFE-TRAIN,alexnet-17800,Média/Total,0.62,0.62,0.62,0.624
CIFE-TRAIN,inceptionV3-34000,Raiva,0.58,0.5,0.53,0.572
CIFE-TRAIN,inceptionV3-34000,Desgosto,0.21,0.26,0.23,0.572
CIFE-TRAIN,inceptionV3-34000,Medo,0.4,0.47,0.43,0.572
CIFE-TRAIN,inceptionV3-34000,Felicidade,0.83,0.79,0.81,0.572
CIFE-TRAIN,inceptionV3-34000,Tristeza,0.49,0.49,0.49,0.572
CIFE-TRAIN,inceptionV3-34000,Surpresa,0.69,0.54,0.61,0.572
CIFE-TRAIN,inceptionV3-34000,Neutralidade,0.44,0.53,0.48,0.572
CIFE-TRAIN,inceptionV3-34000,Média/Total,0.59,0.57,0.58,0.572
CIFE-TRAIN,resnet-11250,Raiva,0.71,0.61,0.66,0.673
CIFE-TRAIN,resnet-11250,Desgosto,0.44,0.22,0.3,0.673
CIFE-TRAIN,resnet-11250,Medo,0.46,0.52,0.49,0.673
CIFE-TRAIN,resnet-11250,Felicidade,0.82,0.83,0.83,0.673
CIFE-TRAIN,resnet-11250,Tristeza,0.67,0.74,0.7,0.673
CIFE-TRAIN,resnet-11250,Surpresa,0.6,0.75,0.67,0.673
CIFE-TRAIN,resnet-11250,Neutralidade,0.61,0.56,0.58,0.673
CIFE-TRAIN,resnet-11250,Média/Total,0.67,0.67,0.67,0.673
