Base de Dados,Arquitetura,Emoção,Precisão,Revocação,F1-score,Acurácia
CIFE-TEST,alexnet-17800,Raiva,0.58,0.70,0.63,0.626
CIFE-TEST,alexnet-17800,Desgosto,0.35,0.38,0.36,0.626
CIFE-TEST,alexnet-17800,Medo,0.46,0.35,0.40,0.626
CIFE-TEST,alexnet-17800,Felicidade,0.72,0.80,0.76,0.626
CIFE-TEST,alexnet-17800,Tristeza,0.72,0.61,0.66,0.626
CIFE-TEST,alexnet-17800,Surpresa,0.73,0.62,0.67,0.626
CIFE-TEST,alexnet-17800,Neutralidade,0.50,0.51,0.50,0.626
CIFE-TEST,alexnet-17800,Média/Total,0.63,0.63,0.62,0.626
CIFE-TEST,inceptionV3-34000,Raiva,0.62,0.62,0.62,0.613
CIFE-TEST,inceptionV3-34000,Desgosto,0.26,0.30,0.28,0.613
CIFE-TEST,inceptionV3-34000,Medo,0.47,0.46,0.46,0.613
CIFE-TEST,inceptionV3-34000,Felicidade,0.86,0.79,0.83,0.613
CIFE-TEST,inceptionV3-34000,Tristeza,0.56,0.54,0.55,0.613
CIFE-TEST,inceptionV3-34000,Surpresa,0.70,0.61,0.65,0.613
CIFE-TEST,inceptionV3-34000,Neutralidade,0.45,0.57,0.50,0.613
CIFE-TEST,inceptionV3-34000,Média/Total,0.63,0.61,0.62,0.613
CIFE-TEST,resnet-11250,Raiva,0.78,0.60,0.68,0.687
CIFE-TEST,resnet-11250,Desgosto,0.65,0.34,0.45,0.687
CIFE-TEST,resnet-11250,Medo,0.40,0.42,0.41,0.687
CIFE-TEST,resnet-11250,Felicidade,0.84,0.87,0.85,0.687
CIFE-TEST,resnet-11250,Tristeza,0.66,0.71,0.69,0.687
CIFE-TEST,resnet-11250,Surpresa,0.62,0.81,0.70,0.687
CIFE-TEST,resnet-11250,Neutralidade,0.61,0.60,0.60,0.687
CIFE-TEST,resnet-11250,Média/Total,0.69,0.69,0.68,0.687
,,,,,,
CIFE-TRAIN,alexnet-17800,Raiva,0.55,0.60,0.58,0.624
CIFE-TRAIN,alexnet-17800,Desgosto,0.30,0.31,0.30,0.624
CIFE-TRAIN,alexnet-17800,Medo,0.50,0.49,0.50,0.624
CIFE-TRAIN,alexnet-17800,Felicidade,0.73,0.85,0.79,0.624
CIFE-TRAIN,alexnet-17800,Tristeza,0.68,0.60,0.64,0.624
CIFE-TRAIN,alexnet-17800,Surpresa,0.71,0.53,0.61,0.624
CIFE-TRAIN,alexnet-17800,Neutralidade,0.54,0.53,0.53,0.624
CIFE-TRAIN,alexnet-17800,Média/Total,0.62,0.62,0.62,0.624
CIFE-TRAIN,inceptionV3-34000,Raiva,0.58,0.50,0.53,0.572
CIFE-TRAIN,inceptionV3-34000,Desgosto,0.21,0.26,0.23,0.572
CIFE-TRAIN,inceptionV3-34000,Medo,0.40,0.47,0.43,0.572
CIFE-TRAIN,inceptionV3-34000,Felicidade,0.83,0.79,0.81,0.572
CIFE-TRAIN,inceptionV3-34000,Tristeza,0.49,0.49,0.49,0.572
CIFE-TRAIN,inceptionV3-34000,Surpresa,0.69,0.54,0.61,0.572
CIFE-TRAIN,inceptionV3-34000,Neutralidade,0.44,0.53,0.48,0.572
CIFE-TRAIN,inceptionV3-34000,Média/Total,0.59,0.57,0.58,0.572
CIFE-TRAIN,resnet-11250,Raiva,0.71,0.61,0.66,0.673
CIFE-TRAIN,resnet-11250,Desgosto,0.44,0.22,0.30,0.673
CIFE-TRAIN,resnet-11250,Medo,0.46,0.52,0.49,0.673
CIFE-TRAIN,resnet-11250,Felicidade,0.82,0.83,0.83,0.673
CIFE-TRAIN,resnet-11250,Tristeza,0.67,0.74,0.70,0.673
CIFE-TRAIN,resnet-11250,Surpresa,0.60,0.75,0.67,0.673
CIFE-TRAIN,resnet-11250,Neutralidade,0.61,0.56,0.58,0.673
CIFE-TRAIN,resnet-11250,Média/Total,0.67,0.67,0.67,0.673
,,,,,,
CK,alexnet-17800,Raiva,0.91,1.00,0.95,0.96
CK,alexnet-17800,Desgosto,0.98,0.97,0.98,0.96
CK,alexnet-17800,Medo,0.89,0.96,0.92,0.96
CK,alexnet-17800,Felicidade,0.99,0.99,0.99,0.96
CK,alexnet-17800,Tristeza,0.98,0.84,0.91,0.96
CK,alexnet-17800,Surpresa,1.00,0.94,0.97,0.96
CK,alexnet-17800,Neutralidade,0.00,0.00,0.00,0.96
CK,alexnet-17800,Média/Total,0.97,0.96,0.96,0.96
CK,inceptionV3-34000,Raiva,0.93,0.94,0.93,0.954
