Base de Dados,Arquitetura,Emoção,Precisão,Revocação,F1-score,Acurácia
NOVAEMOTIONS,alexnet-17800,Raiva,0.68,0.33,0.44,0.857
NOVAEMOTIONS,alexnet-17800,Desgosto,0.69,0.63,0.66,0.857
NOVAEMOTIONS,alexnet-17800,Medo,0.57,0.25,0.34,0.857
NOVAEMOTIONS,alexnet-17800,Felicidade,0.89,0.94,0.92,0.857
NOVAEMOTIONS,alexnet-17800,Tristeza,0.86,0.73,0.79,0.857
NOVAEMOTIONS,alexnet-17800,Surpresa,0.9,0.87,0.89,0.857
NOVAEMOTIONS,alexnet-17800,Neutralidade,0.76,0.77,0.76,0.857
NOVAEMOTIONS,alexnet-17800,Média/Total,0.85,0.86,0.85,0.857
NOVAEMOTIONS,inceptionV3-34000,Raiva,0.3,0.22,0.25,0.853
NOVAEMOTIONS,inceptionV3-34000,Desgosto,0.68,0.6,0.64,0.853
NOVAEMOTIONS,inceptionV3-34000,Medo,0.44,0.15,0.23,0.853
NOVAEMOTIONS,inceptionV3-34000,Felicidade,0.9,0.94,0.92,0.853
NOVAEMOTIONS,inceptionV3-34000,Tristeza,0.89,0.67,0.77,0.853
NOVAEMOTIONS,inceptionV3-34000,Surpresa,0.92,0.88,0.9,0.853
NOVAEMOTIONS,inceptionV3-34000,Neutralidade,0.71,0.77,0.74,0.853
NOVAEMOTIONS,inceptionV3-34000,Média/Total,0.85,0.85,0.85,0.853
NOVAEMOTIONS,resnet-11250,Raiva,0.54,0.33,0.41,0.87
NOVAEMOTIONS,resnet-11250,Desgosto,0.85,0.65,0.74,0.87
NOVAEMOTIONS,resnet-11250,Medo,0.73,0.15,0.25,0.87
NOVAEMOTIONS,resnet-11250,Felicidade,0.93,0.93,0.93,0.87
NOVAEMOTIONS,resnet-11250,Tristeza,0.71,0.88,0.78,0.87
NOVAEMOTIONS,resnet-11250,Surpresa,0.93,0.89,0.91,0.87
NOVAEMOTIONS,resnet-11250,Neutralidade,0.75,0.79,0.77,0.87
NOVAEMOTIONS,resnet-11250,Média/Total,0.87,0.87,0.87,0.87
