Arquitetura,Emoção,Precisão,Revocação,F1-score,Acurácia
alexnet-17800,Raiva,0.51,0.6,0.55,0.712
alexnet-17800,Desgosto,0.62,0.64,0.63,0.712
alexnet-17800,Medo,0.47,0.41,0.44,0.712
alexnet-17800,Felicidade,0.84,0.89,0.86,0.712
alexnet-17800,Tristeza,0.64,0.5,0.56,0.712
alexnet-17800,Surpresa,0.84,0.77,0.8,0.712
alexnet-17800,Neutralidade,0.62,0.64,0.63,0.712
alexnet-17800,Média/Total,0.71,0.71,0.71,0.712
inceptionV3-34000,Raiva,0.54,0.51,0.52,0.701
inceptionV3-34000,Desgosto,0.56,0.57,0.56,0.701
inceptionV3-34000,Medo,0.47,0.42,0.44,0.701
inceptionV3-34000,Felicidade,0.88,0.88,0.88,0.701
inceptionV3-34000,Tristeza,0.47,0.53,0.5,0.701
inceptionV3-34000,Surpresa,0.85,0.79,0.82,0.701
inceptionV3-34000,Neutralidade,0.59,0.62,0.61,0.701
inceptionV3-34000,Média/Total,0.7,0.7,0.7,0.701
resnet-11250,Raiva,0.69,0.57,0.62,0.757
resnet-11250,Desgosto,0.79,0.66,0.72,0.757
resnet-11250,Medo,0.45,0.5,0.47,0.757
resnet-11250,Felicidade,0.9,0.89,0.9,0.757
resnet-11250,Tristeza,0.6,0.65,0.63,0.757
resnet-11250,Surpresa,0.82,0.86,0.84,0.757
resnet-11250,Neutralidade,0.67,0.68,0.68,0.757
resnet-11250,Média/Total,0.76,0.76,0.76,0.757
